word,count_a,count_b,delta_cos,neighbor_jaccard,change_score
গিল্,57,65,0.83316,0.0,1.41658
হ্যারি,2878,99,0.78262,0.0,1.39131
মহিষ,136,371,0.79736,0.0101,1.38858
রওশন,631,44,0.73637,0.0,1.36818
ঋক,34,204,0.72499,0.0,1.3625
আসাদ,87,186,0.71964,0.0,1.35982
অগ্নির,54,106,0.71913,0.0,1.35957
জনে,146,108,0.71345,0.0,1.35673
অভিলাষ,45,95,0.70012,0.0,1.35006
অলি,110,35,0.6964,0.0,1.3482
গরিমা,27,98,0.69517,0.0,1.34758
মেরি,303,423,0.71031,0.0101,1.34505
কামাল,354,302,0.68933,0.0,1.34466
বিনয়,3378,107,0.68747,0.0,1.34374
শাপলা,63,121,0.67978,0.0,1.33989
ওসমান,295,150,0.67967,0.0,1.33984
গাজা,24,150,0.67868,0.0,1.33934
ভ্যাট,32,142,0.67557,0.0,1.33779
সাফ,330,209,0.67538,0.0,1.33769
অগ্নি,215,360,0.69539,0.0101,1.33759
মেয়া,29,31,0.67476,0.0,1.33738
পাশা,81,176,0.67133,0.0,1.33567
আজহ,93,360,0.66773,0.0,1.33386
বরাত,84,117,0.66563,0.0,1.33281
অং,36,47,0.66183,0.0,1.33091
টুই,120,27,0.66131,0.0,1.33065
রমজান,64,191,0.65493,0.0,1.32746
মারিয়া,2383,156,0.67495,0.0101,1.32737
বিপক্ষে,104,1035,0.65452,0.0,1.32726
রেণু,38,199,0.65237,0.0,1.32619
লরেন্স,72,217,0.65232,0.0,1.32616
যুগল,446,113,0.651,0.0,1.3255
রোহিত,60,252,0.65033,0.0,1.32516
হাম,105,786,0.64867,0.0,1.32434
মানিক,113,523,0.64617,0.0,1.32308
কল্যাণ,516,176,0.64371,0.0,1.32186
সুদীপ,496,23,0.66336,0.0101,1.32158
সোহাগ,180,51,0.64226,0.0,1.32113
মোছা,43,24,0.63892,0.0,1.31946
রামু,269,21,0.63859,0.0,1.31929
তারেক,227,821,0.65826,0.0101,1.31903
রুস্তম,134,284,0.63619,0.0,1.31809
সাবেক,51,1417,0.63488,0.0,1.31744
তুফান,352,55,0.63261,0.0,1.3163
রাহুল,39,982,0.63178,0.0,1.31589
ভিনসেন্ট,71,45,0.63109,0.0,1.31554
টেড,158,20,0.62899,0.0,1.3145
মনি,168,120,0.62658,0.0,1.31329
রা,139,216,0.62615,0.0,1.31308
অশ্বিনী,82,284,0.62523,0.0,1.31261
