word,count_a,count_b,delta_cos,neighbor_jaccard,change_score
নাব,1336,1879,0.18417,0.5873,0.50478
এগারোটা,289,307,0.13809,0.5625,0.50654
সোয়া,121,90,0.10849,0.51515,0.53909
নিয়েছিল,471,547,0.15841,0.53846,0.54075
তুই,6755,10782,0.11477,0.51515,0.54223
পৌনে,246,178,0.12275,0.51515,0.54622
সিগারেট,2133,2987,0.16979,0.51515,0.56974
দ্যাট,322,290,0.09782,0.47059,0.57832
নেন,360,776,0.23626,0.53846,0.57967
নেব,1937,2634,0.19174,0.51515,0.58072
ফেল,3862,5985,0.17216,0.49254,0.59354
বাতি,619,908,0.17613,0.49254,0.59553
জ্বলবে,64,66,0.10406,0.44928,0.60276
শার্ট,556,828,0.19074,0.49254,0.60283
শুত,479,454,0.19234,0.49254,0.60363
নিলে,786,1056,0.19257,0.49254,0.60375
সাড়ে,1529,1443,0.18531,0.47059,0.62207
তিনেক,420,385,0.23183,0.49254,0.62338
দেয়,2683,4193,0.18853,0.47059,0.62368
গান,4320,5995,0.14643,0.44928,0.62394
নটা,541,677,0.19779,0.47059,0.62831
নিভিয়ে,284,384,0.11446,0.42857,0.62866
খেল,2304,3216,0.20356,0.47059,0.63119
আলো,5255,6385,0.12451,0.42857,0.63368
ধরাল,183,299,0.12995,0.42857,0.6364
গাছ,6526,7060,0.13187,0.42857,0.63737
বাতাস,1947,2474,0.17433,0.44928,0.63789
উঠ,9284,10603,0.13393,0.42857,0.63839
প্যান্ট,706,729,0.17904,0.44928,0.64024
পার,10450,15061,0.18238,0.44928,0.64192
জ্বলছিল,105,115,0.10153,0.40845,0.64231
দাব,4459,6578,0.18338,0.44928,0.64241
তাকায়,792,720,0.18526,0.44928,0.64336
এপ্রিল,108,134,0.14575,0.42857,0.6443
এগারটা,47,43,0.10826,0.40845,0.64568
নটায়,177,166,0.14877,0.42857,0.64581
চুল,3098,4827,0.15208,0.42857,0.64747
কামানো,99,108,0.15611,0.42857,0.64948
কাঁচাপাকা,112,140,0.11751,0.40845,0.6503
অ্যাজ,85,143,0.08736,0.38889,0.65479
ইজ,1161,1203,0.21466,0.44928,0.65806
লুঙ্গি,168,460,0.17422,0.42857,0.65854
পরনে,787,1023,0.13469,0.40845,0.6589
এগারোটায়,89,130,0.09859,0.38889,0.6604
আটটায়,160,153,0.09986,0.38889,0.66104
খাবে,1163,1751,0.18169,0.42857,0.66228
চুরুট,469,461,0.18244,0.42857,0.66265
বাজিয়ে,422,493,0.22753,0.44928,0.66449
বারোটায়,85,102,0.10937,0.38889,0.66579
নেভা,37,33,0.11216,0.38889,0.66719
