word,log_frequency,polysemy_dispersion,change_score
বল্লাল,1.3979,0.0801,1.4073
রমজান,2.6721,0.2691,1.3962
নাসিম,1.9912,0.1425,1.3948
অর্জুন,2.0128,0.1333,1.3765
বরাত,1.8865,0.1447,1.372
পাশা,1.9243,0.2047,1.3647
শ্যামলী,2.0492,0.1775,1.3644
লিপি,2.1703,0.0865,1.3621
টোল,1.716,0.1343,1.3614
মহিষ,1.9445,0.1531,1.361
মুহাম্মদ,2.4579,0.2299,1.3593
হাম,1.8865,0.1185,1.3574
মারিয়া,2.0374,0.1902,1.3523
হেনরি,1.699,0.052,1.3515
সাবেক,1.5682,0.1273,1.3504
গুম,2.2553,0.2248,1.3495
ব্যাং,1.7709,0.1515,1.3475
বে,2.0492,0.1297,1.3465
কোর,1.716,0.1253,1.346
বোধন,2.9713,0.2346,1.3444
মহেন্দ্র,2.8921,0.2885,1.342
স্মিথ,2.1673,0.1508,1.3406
গৌরী,2.9047,0.1681,1.339
আনু,2.9117,0.2622,1.339
ফারুক,2.5843,0.2355,1.3374
রসিক,2.4579,0.1942,1.3372
সাফ,2.3541,0.1669,1.3365
রানা,1.7634,0.1119,1.3302
সোল,1.9031,0.1875,1.3282
মুর,1.5315,0.0652,1.3267
কাফ,2.179,0.1696,1.3263
মেয়র,1.6812,0.1159,1.3253
কাঞ্চন,1.8451,0.0889,1.3247
পশ্চিমা,1.6232,0.163,1.3244
চলমান,1.7559,0.1388,1.3239
ইরান,1.6232,0.064,1.3228
মিঞা,2.7868,0.3305,1.3205
জনে,2.382,0.207,1.32
অগ্নি,2.0334,0.1643,1.3199
উল্কা,2.4362,0.1671,1.3196
শিকদ,2.567,0.2289,1.3194
হারে,1.9494,0.1683,1.319
অভিজিৎ,1.7782,0.1406,1.3186
মনির,2.7007,0.246,1.3164
অগ্নিসংযোগ,1.8633,0.1545,1.3163
অঞ্জ,1.5051,0.1315,1.3159
বসুন্ধ,1.3617,0.0595,1.3136
বাহাদুর,2.5587,0.1453,1.3135
পুনরায়,2.4533,0.1712,1.3132
নিশাত,2.29,0.1862,1.3131
আকবর,1.8692,0.0685,1.3127
পদে,2.5185,0.1538,1.3119
গামা,1.8865,0.1476,1.3109
মেঘনা,2.4609,0.1615,1.3107
নীলা,1.9395,0.1819,1.3098
গ্রুপ,1.7404,0.0935,1.3089
মমতা,2.3284,0.2182,1.3081
গৌরাঙ্গ,1.9823,0.1887,1.308
সোহাগ,2.0414,0.1998,1.3073
গোবিন্দ,2.6532,0.2158,1.3064
প্রীতি,1.9956,0.1012,1.3063
তুষ,2.9689,0.2635,1.3058
জবা,2.7482,0.2387,1.3057
বাড়িওয়ালা,2.1818,0.1936,1.3053
লো,1.9494,0.1971,1.3052
ভজহরি,1.3222,0.0808,1.3049
টমাস,2.6542,0.177,1.3046
মানিক,2.4031,0.1748,1.3029
ইরানি,1.6335,0.0812,1.3029
স্ট্রাইক,1.5563,0.0974,1.3026
দীপ,2.0086,0.1865,1.3021
লিং,1.8388,0.1711,1.3017
জো,2.3263,0.1607,1.3016
টিম,1.8692,0.1881,1.3014
শীর্ষে,1.4771,0.1093,1.3009
জাতীয়,2.6646,0.102,1.3003
মো,1.3617,0.1135,1.2999
তুলসী,1.9445,0.1572,1.2998
অবরুদ্ধ,1.8633,0.1313,1.2998
অঙ্,2.179,0.1613,1.2997
অরূপ,1.3617,0.0481,1.2997
জাহেদ,2.4829,0.164,1.2993
রাহুল,1.7709,0.1689,1.2986
প্রবাসী,1.9031,0.1342,1.2983
মডেল,1.6902,0.0969,1.2981
খোকন,2.601,0.2057,1.2976
শাখায়,1.7482,0.1532,1.297
রুবি,2.0934,0.1734,1.2969
হার্বার্ট,1.3802,0.0427,1.2966
পলাশ,1.716,0.1153,1.2964
সুজন,2.1173,0.1441,1.2956
আজহ,2.7356,0.2395,1.2939
মঞ্জু,1.8513,0.1395,1.2932
নিক্ষেপ,2.3201,0.1762,1.2932
বিপক্ষে,1.5185,0.0526,1.2931
রেবেকা,1.6232,0.1541,1.2929
হ্যারিসন,1.5185,0.1026,1.292
আতর,1.8751,0.1395,1.2915
মলে,1.8325,0.1841,1.2909
শরীফ,1.8921,0.0627,1.2903
যমুনা,2.1492,0.1602,1.2901
ব্যবধানে,1.6532,0.1515,1.2896
মনি,2.8998,0.2789,1.2895
বাঘা,1.959,0.2001,1.2892
মাসুদ,1.7324,0.129,1.2892
মঈন,1.6128,0.1058,1.2887
মধ্যবর্তী,1.8573,0.1546,1.2887
চলতি,1.8633,0.1369,1.288
এজেন্ট,1.6532,0.0955,1.2879
দুর্দান্ত,1.8865,0.1117,1.2875
পরিক্রমণ,1.3802,0.085,1.2861
লরেন্স,1.3979,0.0457,1.2859
রামচরণ,2.248,0.1982,1.2857
জেমস,1.8388,0.0668,1.2855
পিট,1.716,0.1592,1.2855
পশুর,2.0607,0.1956,1.2854
মিম,1.4472,0.14,1.2853
রাধা,3.0052,0.2226,1.2852
দারুণ,2.7604,0.2836,1.2848
মধুসূদন,2.3979,0.1628,1.2845
রাজ,1.8195,0.1011,1.2838
সন্তোষ,2.3909,0.1556,1.2834
হাজি,2.2553,0.1711,1.2829
সম্রাট,2.4183,0.1276,1.2827
প্ল্যাটফর্ম,1.9191,0.1476,1.2826
শশাঙ্ক,2.4314,0.2825,1.2821
মহামান্য,1.3617,0.0708,1.282
পালিত,2.0934,0.1525,1.282
রান,1.5911,0.1037,1.2819
আবু,2.6385,0.2958,1.2818
ক্রীড়া,1.3979,0.0926,1.2809
কিষাণ,1.301,0.111,1.2808
জয়নাল,2.0792,0.148,1.2798
জার,1.5563,0.101,1.2796
গোলে,1.301,0.062,1.2796
পুরো,2.6395,0.2164,1.2789
বিজয়া,2.4654,0.1918,1.2788
উত্তম,2.2455,0.1206,1.2786
কারিগর,1.9085,0.149,1.2786
কামাল,1.8573,0.1506,1.2785
সুশীল,2.4955,0.1954,1.278
রুমি,1.3802,0.0496,1.2779
মিত্র,2.7597,0.2642,1.2775
টুনি,1.9494,0.155,1.2765
তেলের,1.9777,0.1795,1.2763
বিজ্ঞানী,1.8195,0.142,1.2761
সিং,2.9699,0.2541,1.276
সাইমন,1.8325,0.1331,1.276
খ্যাপা,1.9191,0.2144,1.2759
অভিনয়ে,1.3222,0.065,1.2758
ওয়ার্ড,1.7924,0.1167,1.2756
ডেভিড,1.4314,0.0558,1.2753
ভাঙ্গা,1.7634,0.1175,1.275
ইউনিয়ন,2.0899,0.1258,1.2749
বিল,2.3892,0.1729,1.2749
মেরি,1.6721,0.1647,1.2747
পরিচালক,1.6902,0.1261,1.2742
শুভ্র,2.0645,0.1327,1.2738
কৈলাস,1.699,0.133,1.2736
আধা,2.0569,0.1504,1.2731
ওয়,1.5051,0.0695,1.2729
বিজয়,2.944,0.165,1.2727
ম্যাচ,1.6532,0.1899,1.2727
পদের,1.5563,0.0625,1.2724
অধিনায়ক,1.3222,0.0625,1.2724
অধীন,2.0755,0.157,1.2722
দেখিয়া,3.0846,0.3201,1.2719
সা,1.7993,0.1251,1.2716
শেলি,1.3424,0.0501,1.2715
সেল,2.4683,0.2065,1.2714
হারাধন,2.3541,0.1662,1.2714
নিশীথ,1.6532,0.1502,1.2714
জহির,2.1303,0.1369,1.2713
দুর্যোধন,1.6128,0.0943,1.2708
বিলম্বিত,1.6721,0.155,1.2707
সুরমা,1.7993,0.1066,1.2702
নিবে,2.0645,0.1787,1.2701
গান্ধী,1.9085,0.0902,1.2701
ফাউল,1.4314,0.1259,1.2699
সাজি,1.301,0.0926,1.2698
সর্বশেষ,2.0531,0.0834,1.2695
আমিন,2.0645,0.1326,1.2694
জগন্নাথ,2.2201,0.1645,1.2692
ভুজঙ্গ,2.0043,0.1378,1.2691
ফজলে,1.7482,0.1416,1.2686
রশ্মি,1.6721,0.1228,1.2683
জীবনানন্দ,1.3222,0.0732,1.2681
দা,2.017,0.1315,1.2681
রবি,2.4487,0.1565,1.2681
জোট,1.4914,0.0856,1.2681
মতি,1.9956,0.1454,1.2679
মোহন,2.2923,0.1839,1.2672
বিক্ষোভ,1.8388,0.1144,1.267
বিপ্লব,2.1931,0.09,1.2669
সাহা,2.525,0.2106,1.2665
বেন,1.4771,0.0473,1.2665
ফ্যা,1.3617,0.1699,1.2663
বনানী,1.9445,0.1272,1.2662
জবাবে,2.1492,0.1439,1.2662
উদ্যোক্তা,1.3979,0.0971,1.2659
শিশুপাল,1.7243,0.1576,1.2659
আবি,1.6435,0.1201,1.2658
বাজপাখি,1.8129,0.1079,1.2657
বিরাজ,2.0253,0.113,1.2655
বনলতা,1.699,0.1242,1.2654
নিশ্চিত,2.4997,0.1428,1.2653
রুদ্র,1.8451,0.1188,1.2648
সেন্,1.3424,0.1072,1.2647
রেড,1.4472,0.0874,1.264
সৌম্য,1.3424,0.1463,1.2637
হারুন,2.8129,0.2925,1.2635
বারে,2.5172,0.1532,1.2634
বরা,1.415,0.0737,1.2633
রৌদ্র,2.0755,0.1556,1.2633
সূত্র,2.3424,0.1716,1.2632
সামা,1.6128,0.061,1.2632
ইসলামী,1.8976,0.0633,1.2628
করিল,3.3574,0.3115,1.2628
বুল,1.8195,0.1613,1.2627
বরাবর,2.6571,0.1763,1.2625
খাত,2.1847,0.1432,1.2625
উচ্চ,2.3541,0.1545,1.2624
হাবিব,1.5441,0.1105,1.2623
অসীম,2.6532,0.1467,1.2623
টিপু,1.8388,0.1663,1.262
লাবণ্য,1.9031,0.1629,1.2617
মুসলিম,2.8921,0.177,1.2616
চিত্,2.0934,0.1669,1.2614
রাসেল,1.9395,0.1001,1.2614
প্রভাস,2.3424,0.175,1.2613
মিন,1.6128,0.0847,1.2607
পানামা,1.9294,0.1366,1.2607
সর্বোচ্চ,1.4914,0.0712,1.2605
মিঃ,3.5868,0.2684,1.2604
এরপর,2.4857,0.1374,1.2602
হাসান,1.4914,0.0521,1.26
জরিনা,2.3424,0.2099,1.2599
যাইত,2.7168,0.2737,1.2598
স্টাফ,1.3802,0.1065,1.2598
জুটি,1.301,0.0525,1.2597
আহমেদ,1.6628,0.0595,1.2596
দিবাকর,2.7959,0.1867,1.2595
পয়েন্ট,1.6021,0.1242,1.2595
কেশব,1.4472,0.05,1.2589
শান,1.9956,0.132,1.2587
কেয়,1.7324,0.1117,1.2587
মিনিটে,1.9031,0.1784,1.2585
তামিল,1.6021,0.1101,1.2584
সুরেশ,1.8808,0.1482,1.2583
ইসলামের,2.143,0.0718,1.258
জি,2.2014,0.1288,1.258
হাসিল,2.4048,0.1732,1.258
রাজধানীর,1.3802,0.0697,1.2577
শ্রীমতী,2.3263,0.2069,1.2576
অনিল,2.1106,0.1344,1.2574
বিলাস,1.9191,0.083,1.2573
জানান,2.0719,0.1729,1.257
শিশির,2.6513,0.2017,1.2567
ইব্রাহিম,1.9777,0.1275,1.2562
শিক,2.659,0.2652,1.2559
কর্তা,2.6138,0.1452,1.2559
পাঠানোর,1.5563,0.1376,1.2553
আবিদ,2.0899,0.1949,1.2552
ইস,2.6665,0.1636,1.2551
রক্তিম,1.8692,0.1262,1.255
নিশানা,1.699,0.1063,1.2549
এইখানে,2.3711,0.1296,1.2549
গোর,2.5809,0.1821,1.2544
অতঃপর,2.692,0.2101,1.2544
সনাতন,1.7924,0.1008,1.2544
মেজর,2.1673,0.1451,1.2543
বোর্ড,2.1239,0.1563,1.2543
প্রোফেসর,2.1644,0.2011,1.2542
নিউটন,1.8573,0.1237,1.2542
মারি,1.9731,0.2033,1.2542
কেহ,2.9186,0.2404,1.2542
রুস্তম,1.5185,0.0793,1.2542
পূর্বে,3.0792,0.1868,1.2542
গোলা,1.9777,0.1371,1.2542
অনুশীলন,1.716,0.0588,1.2539
আসিয়া,3.284,0.2765,1.2539
উদ্যোগ,2.1673,0.1786,1.2538
মাধু,1.6902,0.1265,1.2538
পিটা,1.5911,0.0645,1.2537
বাদী,1.415,0.0461,1.2537
শিউ,1.7993,0.1329,1.2535
মাইন,2.0,0.1379,1.2534
সতী,2.2923,0.1595,1.2532
মেট,1.9138,0.1497,1.2531
ব্যাংক,1.3802,0.0914,1.253
সুভদ্র,1.7924,0.1479,1.2528
কানা,2.6042,0.1953,1.2527
আলম,2.4393,0.2053,1.2523
কেটি,1.9731,0.2143,1.2522
শ্রী,1.9445,0.1581,1.2515
কাদির,1.5682,0.0757,1.251
পুরন্দর,2.3892,0.2186,1.2506
মাধুরী,2.9258,0.29,1.2505
মুনির,1.5563,0.0665,1.2504
সজীব,1.8062,0.1245,1.2504
কিশোর,2.1461,0.1675,1.2502
আজব,2.0864,0.2273,1.2499
সংবাদ,2.9912,0.2409,1.2498
নামি,1.8451,0.1664,1.2497
তপতী,2.9053,0.2227,1.2497
হাশেম,2.2529,0.1984,1.2495
অস্ক,1.9445,0.1327,1.2494
উত্তীর্ণ,2.0934,0.1964,1.249
প্রেসিডেন্ট,2.1399,0.1193,1.249
ধূমপান,1.7853,0.154,1.2489
সই,2.4997,0.1917,1.2489
ইংল্যান্ড,1.7993,0.1456,1.2488
কিম্বা,2.2878,0.1252,1.2488
রুমা,1.6628,0.1164,1.2487
নূতন,2.8,0.1427,1.2486
টানা,2.5159,0.1547,1.2483
ভূপতি,2.1335,0.1581,1.2482
ব্ল্যাক,1.9294,0.1431,1.2482
বাহির,3.1222,0.2992,1.2481
সিটি,1.6721,0.1322,1.2479
হাসিব,1.3617,0.0886,1.2479
ওসি,1.5682,0.1288,1.2478
ভোল,2.1106,0.113,1.2476
লিগ,1.5682,0.0982,1.2475
সুলত,1.8633,0.1421,1.2475
বাকী,2.316,0.1683,1.2473
গণেশ,2.3838,0.1714,1.2473
নবাব,2.3802,0.1103,1.2473
ড্রাগন,2.0212,0.1691,1.2473
সুনীল,2.0374,0.1877,1.2473
মুরাদ,2.143,0.1997,1.2472
আরম্ভ,3.2598,0.1625,1.2471
আর্থ,1.8451,0.1057,1.2471
হইলেও,2.179,0.2271,1.2471
চারবার,1.415,0.1054,1.2469
সুনন্দা,2.5966,0.2521,1.2468
কারে,2.0531,0.2143,1.2467
তনু,1.716,0.1668,1.2466
সেকেণ্ড,1.9085,0.222,1.2466
ইন্দ্র,1.8808,0.1445,1.2465
শহীদ,2.6803,0.1407,1.2464
গণপতি,1.301,0.0524,1.2462
গীতি,1.5051,0.1095,1.2462
বলিব,2.1523,0.1718,1.246
মার্কিন,1.9494,0.1283,1.2459
চিফ,1.3802,0.0707,1.2458
পাশাপাশি,2.6767,0.1813,1.2457
চ্যালেঞ্জ,1.7076,0.0844,1.2456
ডাচ,1.7076,0.1223,1.2454
সংযুক্ত,1.5051,0.0504,1.2454
পোস্ট,2.0086,0.1554,1.2453
নাসা,1.301,0.0779,1.2453
শ্যামল,1.9823,0.116,1.2452
দীপক,2.4564,0.2534,1.2451
পল্লী,2.0294,0.1889,1.245
বাটল,1.3222,0.0465,1.2448
মনোহর,2.5185,0.1567,1.2447
মোটরসাইকেল,1.415,0.1052,1.2446
আল,2.1461,0.123,1.2446
আসনে,2.1818,0.1996,1.2446
তুলি,2.3263,0.1558,1.2445
দেবী,2.9727,0.2515,1.2445
ইউসুফ,1.9494,0.0635,1.2445
রবার্ট,1.7324,0.0636,1.2438
পুল,2.7275,0.2207,1.2435
নমুনা,1.9912,0.1046,1.2432
ভূ,1.3617,0.1259,1.2431
লাগি,2.5315,0.2457,1.2431
এড,1.3222,0.0813,1.243
দস্যু,2.776,0.3556,1.2429
ইউনিভার্সি,1.301,0.0853,1.2428
ভোট,2.0719,0.1501,1.2428
বিজন,1.7853,0.1652,1.2427
র‍্যা,1.6628,0.1559,1.2427
অভয়,3.2438,0.2298,1.2427
সংযোগ,1.7404,0.1229,1.2425
লীলা,2.8344,0.1786,1.2423
মিয়া,2.4564,0.197,1.2422
বার্তা,1.9243,0.1302,1.242
সদানন্দ,1.9731,0.1458,1.2415
প্লে,1.3979,0.0749,1.2413
যাইব,2.4265,0.2484,1.2411
গোয়,1.3979,0.0629,1.2408
শ্যাম,2.9768,0.2324,1.2406
অধিকারী,2.3541,0.1727,1.2406
ডিগ্রি,1.6335,0.1058,1.2405
গিয়া,3.33,0.3035,1.2405
কিংবদন্তি,1.5185,0.0755,1.2404
হোল,1.9445,0.0843,1.2403
মহিমা,2.1584,0.0934,1.2402
গাড়ী,2.2577,0.226,1.2399
ইকবাল,1.4914,0.0532,1.2397
খুদে,1.8751,0.1298,1.2394
ব্যাট,1.6902,0.1276,1.2393
নেপাল,1.9395,0.0976,1.2393
পবিত্র,2.3747,0.1124,1.2393
ওভ,1.3802,0.0996,1.2393
বাংলাদেশের,2.2923,0.0969,1.2392
রঙ্গনা,2.1761,0.1897,1.2391
শাষ,3.0191,0.1292,1.2391
আব্দুল,1.3424,0.0509,1.2391
সীমান্,1.6128,0.1342,1.2389
শরদিন্দু,2.1553,0.1864,1.2388
সুদর্শন,2.5855,0.1975,1.2385
মুক্তির,2.4232,0.1585,1.2384
পিসি,2.2529,0.191,1.2384
রকেট,1.7993,0.0971,1.2383
বাবুর,2.5105,0.1869,1.2382
কাবা,1.7853,0.1303,1.238
অন্যদি,2.5011,0.1367,1.2379
ঘোষণা,2.6212,0.1613,1.2378
ঘুরি,1.8513,0.1825,1.2377
রাম,2.9395,0.253,1.2376
দীপ্তি,2.6405,0.218,1.2376
হিল,1.9395,0.1668,1.2375
একপ্রক,2.1903,0.1167,1.2374
অবনী,3.0874,0.2643,1.2372
সামাল,1.7709,0.1712,1.2372
মৃণাল,2.5237,0.2043,1.2372
তপতীর,2.5263,0.1974,1.2371
অগ্নির,1.4314,0.1056,1.2369
রাই,1.7782,0.1821,1.2369
মনু,2.3365,0.2316,1.2368
বলিয়া,3.2066,0.2771,1.2366
মল্লিক,2.7846,0.2902,1.2366
সুধাময়,1.5051,0.082,1.236
অনশন,1.716,0.1084,1.236
দোরগোড়ায়,1.6721,0.1339,1.2359
সুনন্দ,2.1732,0.1854,1.2358
লিখন,1.5563,0.0857,1.2357
দুলাল,2.0043,0.1773,1.2357
মনীষা,1.4624,0.0709,1.2356
হালে,1.8388,0.1393,1.2356
মাজা,2.0043,0.1316,1.2355
আহারে,1.7243,0.1625,1.2353
বৈদ্য,1.7709,0.0775,1.2348
গ্রাহক,1.3222,0.0563,1.2347
পাইলট,1.4624,0.0616,1.2347
পতাকা,1.7709,0.1035,1.2346
বর্তমানে,2.356,0.111,1.2346
তাজ,2.1399,0.1618,1.2346
দুটা,1.8325,0.1002,1.2346
রা,2.1847,0.1412,1.2345
ভার,2.9633,0.1666,1.2344
সংস্থা,1.3424,0.0531,1.2344
বিজয়ী,1.699,0.088,1.2343
সেতু,1.699,0.142,1.2342
সিংয়,2.2625,0.2121,1.234
সুকুম,2.6117,0.2476,1.2339
আমজাদ,2.6263,0.2342,1.2337
স্পিক,1.301,0.0441,1.2335
রক্ষিত,2.316,0.242,1.2335
ভিক্ষু,2.1461,0.1624,1.2334
রাহা,1.7404,0.1474,1.2334
ফকির,2.7664,0.2008,1.2334
শূন্য,2.7513,0.1506,1.2334
চলচ্চিত্র,1.3222,0.0678,1.2334
লাস,1.5441,0.116,1.2331
পিউ,2.2041,0.1938,1.2331
বীর,2.4871,0.2048,1.2331
ভূমি,2.0792,0.1547,1.2331
অনাদি,2.4757,0.2477,1.2331
নাড়ি,2.3054,0.1829,1.233
আমিরুল,1.8921,0.1751,1.2329
সুষ্ঠু,1.7782,0.078,1.2327
সেবা,2.4548,0.1622,1.2327
পো,1.6628,0.133,1.2323
অশোক,2.6454,0.2329,1.2321
বৈঠ,1.9031,0.1322,1.2321
সূত্রে,2.2856,0.118,1.232
বাদল,3.0048,0.2716,1.2317
প্রার্থী,1.4472,0.0648,1.2315
স্বাস্থ্য,2.5105,0.2416,1.2311
উকিল,2.5378,0.2121,1.2309
রেঞ্জ,1.3617,0.0538,1.2308
সলিল,1.8325,0.1793,1.2306
নিয়ন্ত্রণ,1.8451,0.0643,1.2306
মারধর,1.5441,0.0996,1.2304
চামড়া,2.4362,0.1788,1.2304
কঙ্গোর,1.3222,0.1191,1.2303
বিনোদ,1.3222,0.0724,1.2303
সহকারী,1.9138,0.1291,1.2302
কবির,2.3979,0.1118,1.2302
আলেয়া,1.301,0.083,1.2299
শুক্লা,2.2989,0.2275,1.2299
চলি,2.7612,0.2067,1.2299
জাহাঙ্গীর,1.6335,0.0502,1.2299
খাতুন,2.0828,0.2203,1.2298
অবহেল,1.5682,0.093,1.2298
জুলেখা,1.4314,0.1323,1.2297
লিজ,1.7559,0.1135,1.2297
আসগর,1.8751,0.1383,1.2295
চুপি,2.5211,0.2243,1.2294
কোটা,1.716,0.0916,1.229
আর্ট,2.1584,0.1446,1.2289
পর্যায়ে,2.0934,0.0712,1.2288
সবশেষ,1.5185,0.0551,1.2287
অ্যাকশন,1.5051,0.0603,1.2287
সেভাবে,1.6812,0.1003,1.2287
বউঠান,1.3979,0.1127,1.2287
আমির,1.4771,0.0479,1.2286
অনুসন্ধানী,1.5911,0.1344,1.2285
চারটি,2.1584,0.132,1.2284
সুবল,2.3181,0.1824,1.2284
অবতরণ,1.7853,0.1496,1.2284
হইল,3.3553,0.3079,1.2282
জয়ী,1.9294,0.1099,1.2281
বিগত,1.6021,0.0796,1.228
রাজ্য,2.7945,0.1962,1.2279
শহীদুল্লাহ,1.5051,0.0797,1.2278
খতিব,1.7993,0.1268,1.2277
মূল,2.6928,0.1064,1.2277
না৷,1.301,0.0711,1.2276
বালিকা,1.7634,0.1464,1.2276
কবুতর,1.3802,0.0965,1.2275
ডব্লিউ,1.6335,0.0513,1.2275
পাতি,1.6128,0.1286,1.2274
শো,2.2041,0.1947,1.2274
কোন্,2.8603,0.1866,1.2273
নূর,2.0253,0.1601,1.2273
এয়,1.8808,0.1466,1.2271
চার্জ,1.6902,0.1253,1.2271
ফি,1.6812,0.1138,1.2271
বিক্রম,1.3617,0.04,1.227
ময়না,2.3802,0.2006,1.2269
কতা,1.415,0.0771,1.2268
রেফারি,1.4472,0.0966,1.2267
নেপথ্যে,1.5682,0.0907,1.2266
ওদিকে,2.9289,0.1604,1.2266
সোম,2.3522,0.18,1.2266
হান,1.9345,0.1549,1.2265
সমাবেশ,1.6812,0.0769,1.2264
ডায়ালগ,1.3802,0.0668,1.2263
বিদ্যুত,2.2856,0.1461,1.2263
লইয়া,3.2916,0.3132,1.2262
সের,2.5024,0.1923,1.2261
ক্যামে,1.5911,0.1147,1.226
নাহ,1.5051,0.0712,1.226
প্রকাশ্যে,1.9638,0.1298,1.2259
ঝিল,1.4472,0.109,1.2258
সতর্কতা,1.6532,0.1107,1.2255
পিরামিড,1.4624,0.0902,1.2255
অতিরিক্ত,2.2672,0.1616,1.2255
আশু,2.0645,0.1362,1.2254
বর্মা,1.9345,0.1425,1.2254
কমলা,1.9912,0.1784,1.2253
আবেদন,2.179,0.1393,1.2253
আপনারে,1.6902,0.1845,1.2252
রোবব,1.4624,0.1605,1.225
সরকার,2.7275,0.1414,1.2249
ইলিয়াস,1.5185,0.0476,1.2248
এবার,1.7559,0.1144,1.2247
ঘটনায়,1.6435,0.1513,1.2247
কটি,2.233,0.1096,1.2246
আজিজ,1.7559,0.0689,1.2243
অন,2.017,0.093,1.2242
মাদক,1.4624,0.0477,1.224
তেমনি,3.3736,0.1247,1.224
বৃন্দাবন,2.3284,0.1825,1.2239
বিস্তর,2.4564,0.1541,1.2239
অমল,2.0,0.1108,1.2236
জালে,1.9823,0.1622,1.2236
সেব,2.444,0.1378,1.2236
অম্লান,1.8388,0.1384,1.2235
কাসেমের,1.5563,0.094,1.2235
আলি,2.3636,0.1277,1.2233
নাথ,1.7404,0.1078,1.2232
মোম,1.8692,0.138,1.2232
অপারেটর,1.301,0.0891,1.2231
অভিষেক,1.3222,0.0472,1.223
তলে,2.3962,0.1322,1.223
বটে,3.3655,0.1355,1.2229
কালা,2.2695,0.2228,1.2229
গুল,2.3766,0.1299,1.2228
প্রতিপক্ষ,1.699,0.0793,1.2228
আসন,2.5635,0.2928,1.2227
বিচ,2.7738,0.1437,1.2226
ধরি,2.3345,0.223,1.2224
উৎপল,2.0086,0.1647,1.2223
কাতারে,1.5563,0.1221,1.2223
কুম,2.2648,0.1243,1.2223
ভৈর,1.6902,0.0898,1.2222
কণা,2.1614,0.219,1.2222
শিমুল,1.6435,0.114,1.2222
ওপ,1.8808,0.142,1.2222
সুবীর,2.29,0.1395,1.2222
বহাল,1.8865,0.1438,1.2222
একসময়,2.6785,0.1674,1.2222
সুপ,1.6128,0.1536,1.2219
দফায়,1.3424,0.0891,1.2219
গৌর,2.7657,0.1272,1.2218
ঝর্ণা,1.6628,0.1703,1.2218
উন্নত,1.9956,0.0682,1.2215
চিত্র,2.2253,0.1586,1.2215
ঝিলিক,2.2672,0.1891,1.2215
এমনকি,2.5587,0.0777,1.2215
মিলা,1.3802,0.0609,1.2214
অন্ত,2.4314,0.1617,1.2214
এজন্যে,2.3263,0.0616,1.2212
মার্ক,1.5798,0.0748,1.2212
দুইজন,2.3541,0.1822,1.2211
কার্ল,1.3424,0.0558,1.2208
বিপুল,2.5065,0.1353,1.2208
পার্,2.3856,0.1655,1.2208
লামা,1.5315,0.0407,1.2207
বয়সী,1.716,0.152,1.2207
বিনয়,2.9122,0.1697,1.2207
পীতাম্বর,1.9395,0.1209,1.2204
বিশ্ব,2.4378,0.1043,1.2203
ক্যাম্প,1.7853,0.1879,1.2203
স্মরণে,1.7993,0.0622,1.22
রূপক,1.7404,0.0714,1.22
বিদেশি,2.1239,0.1516,1.2199
রবির,1.9912,0.1446,1.2197
বুঝি,3.631,0.1691,1.2195
জাঁহাপনা,2.2227,0.2072,1.2195
কিং,1.6532,0.0828,1.2194
চেয়ারম্যান,1.4624,0.0874,1.2193
সিন,1.6232,0.1269,1.2193
ব্যাপারী,1.4624,0.1013,1.2193
সীমা,2.4757,0.1084,1.2193
গফুর,1.3424,0.0621,1.2192
আশুতোষ,1.5682,0.0866,1.2191
অবশেষ,2.6758,0.1228,1.219
কার্ড,1.9494,0.183,1.2189
লিড,1.6435,0.0987,1.2189
চূড়ান্ত,1.8808,0.099,1.2187
মহারাজ,2.842,0.1926,1.2186
সিনেমায়,2.017,0.1796,1.2186
ভারতীয়,2.549,0.0915,1.2186
স্থানে,2.5403,0.1752,1.2186
কারণে,3.0366,0.1891,1.2185
নবাগত,1.5563,0.0674,1.2184
গণেশের,1.8388,0.0908,1.2184
পথিক,2.1673,0.1499,1.2184
মশা,3.066,0.2107,1.2184
শচীন,1.7634,0.1558,1.2183
ম্যাজিশিয়ান,1.3979,0.1008,1.2182
ভোলা,2.6839,0.1858,1.2182
ইয়াকুব,2.2856,0.2104,1.2182
কুসুম,1.8195,0.1302,1.218
পারুল,2.0334,0.1957,1.2179
কিরণ,1.5798,0.0989,1.2178
সর্বদা,2.5587,0.2291,1.2178
সেবক,2.0899,0.1711,1.2178
পুরাতন,2.5403,0.2422,1.2177
কৃষ্ণা,2.8785,0.2086,1.2177
মার্কস,1.415,0.0473,1.2177
তৈরী,2.5092,0.1875,1.2176
পাপিয়া,1.415,0.1286,1.2175
সানা,1.7559,0.1706,1.2175
চক্রবর্তীর,2.2148,0.226,1.2173
ফটিক,2.4487,0.1921,1.2172
মীর,2.0414,0.098,1.2172
বিশাল,2.6551,0.1572,1.2172
আসন্ন,2.1492,0.1804,1.217
জাপানে,1.3979,0.0653,1.217
রেকর্ড,2.2405,0.2463,1.2169
অবরোধ,1.7993,0.1238,1.2168
আউট,1.9956,0.1375,1.2167
রয়েছেন,2.2227,0.23,1.2166
বাড়িত,1.3617,0.0781,1.2165
ফ্যামি,1.7634,0.1329,1.2165
দাবি,2.7709,0.1656,1.2164
হার,2.8122,0.2894,1.2163
মিট,1.8062,0.1579,1.2161
আহমদ,2.2742,0.0883,1.216
