word,count_a,count_b,delta_cos,neighbor_jaccard,change_score
তুই,10782,3660,0.14414,0.42857,0.6435
গাড়ি,10472,4677,0.15491,0.40845,0.669
ইজ,1203,375,0.29251,0.47059,0.67567
অ্যাম,343,72,0.13348,0.36986,0.69688
ফেল,5985,2710,0.17272,0.38889,0.69747
ডোন্ট,238,123,0.11416,0.35135,0.70573
নেব,2634,1131,0.25102,0.40845,0.71706
বাতি,908,379,0.19022,0.36986,0.72525
নিয়,2290,1695,0.19159,0.36986,0.72593
পারেনি,1941,1451,0.19728,0.36986,0.72878
ইওর,212,52,0.09776,0.31579,0.73309
পার,15061,7455,0.20626,0.36986,0.73327
করেছিস,481,152,0.20715,0.36986,0.73371
দ্যাট,290,110,0.10161,0.31579,0.73502
নিলে,1056,522,0.25066,0.38889,0.73644
গাছ,7060,2948,0.15675,0.33333,0.74504
দাব,6578,2652,0.20029,0.35135,0.74879
পারেননি,634,778,0.20043,0.35135,0.74887
দিই,1715,612,0.23908,0.36986,0.74968
হ্যাভ,251,92,0.09954,0.2987,0.75107
নাউ,117,38,0.06932,0.28205,0.75261
ওঠ,1919,1085,0.24754,0.36986,0.75391
নেয়,2840,1865,0.21077,0.35135,0.75403
নিয়েছিল,547,419,0.2158,0.35135,0.75655
পড়ে,20740,9596,0.1553,0.31579,0.76186
প্যান্ট,729,465,0.20527,0.33333,0.7693
দেব,9613,3429,0.20658,0.33333,0.76996
ফেলেছি,886,458,0.20931,0.33333,0.77132
পাঁচেক,322,118,0.24882,0.35135,0.77306
ইটস,119,72,0.07903,0.26582,0.77369
চুল,4827,2166,0.17942,0.31579,0.77392
বাইশ,216,99,0.15426,0.2987,0.77843
তাকাল,4592,2554,0.15497,0.2987,0.77879
বাতাস,2474,919,0.2249,0.33333,0.77912
হোয়াট,303,94,0.15848,0.2987,0.78054
পারবে,6592,3021,0.15982,0.2987,0.78121
নাব,1879,1067,0.23254,0.33333,0.78294
ইউ,1436,639,0.26919,0.35135,0.78324
পারছেন,1367,847,0.19818,0.31579,0.7833
বাতির,55,49,0.16533,0.2987,0.78396
ধাক্কা,1749,1059,0.20039,0.31579,0.7844
উঠলে,604,274,0.20097,0.31579,0.7847
পনেরো,988,394,0.23814,0.33333,0.78573
করছিস,616,241,0.20357,0.31579,0.786
পারিনি,1244,764,0.2402,0.33333,0.78677
তোরা,1429,441,0.27701,0.35135,0.78715
হাসে,811,327,0.24429,0.33333,0.78881
কাট,5882,3001,0.17554,0.2987,0.78907
পায়নি,1063,562,0.21207,0.31579,0.79024
দাড়ি,1388,420,0.28326,0.35135,0.79028
