word,count_a,count_b,delta_cos,neighbor_jaccard,change_score
গিল্,57,65,0.83316,0.0,1.41658
মহিষ,136,371,0.79736,0.0101,1.38858
অগ্নির,54,106,0.71913,0.0,1.35957
জনে,146,108,0.71345,0.0,1.35673
বিনয়,3378,107,0.68747,0.0,1.34374
শাপলা,63,121,0.67978,0.0,1.33989
ওসমান,295,150,0.67967,0.0,1.33984
গাজা,24,150,0.67868,0.0,1.33934
ভ্যাট,32,142,0.67557,0.0,1.33779
সাফ,330,209,0.67538,0.0,1.33769
অগ্নি,215,360,0.69539,0.0101,1.33759
মেয়া,29,31,0.67476,0.0,1.33738
আজহ,93,360,0.66773,0.0,1.33386
অং,36,47,0.66183,0.0,1.33091
টুই,120,27,0.66131,0.0,1.33065
মারিয়া,2383,156,0.67495,0.0101,1.32737
বিপক্ষে,104,1035,0.65452,0.0,1.32726
লরেন্স,72,217,0.65232,0.0,1.32616
রোহিত,60,252,0.65033,0.0,1.32516
হাম,105,786,0.64867,0.0,1.32434
মানিক,113,523,0.64617,0.0,1.32308
কল্যাণ,516,176,0.64371,0.0,1.32186
সুদীপ,496,23,0.66336,0.0101,1.32158
সোহাগ,180,51,0.64226,0.0,1.32113
মোছা,43,24,0.63892,0.0,1.31946
রামু,269,21,0.63859,0.0,1.31929
তারেক,227,821,0.65826,0.0101,1.31903
রুস্তম,134,284,0.63619,0.0,1.31809
সাবেক,51,1417,0.63488,0.0,1.31744
তুফান,352,55,0.63261,0.0,1.3163
ভিনসেন্ট,71,45,0.63109,0.0,1.31554
টেড,158,20,0.62899,0.0,1.3145
মনি,168,120,0.62658,0.0,1.31329
রা,139,216,0.62615,0.0,1.31308
অশ্বিনী,82,284,0.62523,0.0,1.31261
নুহাশ,318,116,0.6237,0.0,1.31185
শীষ,34,150,0.62327,0.0,1.31164
মির্জা,102,361,0.62065,0.0,1.31032
ইমন,840,58,0.62056,0.0,1.31028
ফ্রান্স,7648,448,0.62056,0.0,1.31028
খাত,351,1506,0.62039,0.0,1.3102
গৌরাঙ্গ,111,62,0.62023,0.0,1.31012
সুফল,218,96,0.6199,0.0,1.30995
সুকুম,91,466,0.61957,0.0,1.30979
লিখন,56,123,0.61608,0.0,1.30804
টোল,59,173,0.61549,0.0,1.30774
বাঘা,123,68,0.60978,0.0,1.30489
ভ্রাম্যমাণ,34,72,0.6081,0.0,1.30405
সাদাত,98,43,0.60771,0.0,1.30386
টনি,65,296,0.60702,0.0,1.30351
