word,count_a,count_b,delta_cos,neighbor_jaccard,change_score
তুই,3643,3660,0.11971,0.51515,0.5447
কাঁচাপাকা,51,50,0.08404,0.35135,0.69067
তোর,3813,3296,0.17123,0.38889,0.69673
পার,6068,7455,0.1813,0.38889,0.70176
পারবে,1980,3021,0.19731,0.38889,0.70976
উঠ,6148,5607,0.1418,0.35135,0.71955
পারল,1330,1526,0.21501,0.36986,0.73764
খুলে,3224,4190,0.14657,0.33333,0.73995
পারেনি,1133,1451,0.22677,0.36986,0.74352
পেল,2702,3501,0.19419,0.35135,0.74574
পাঁচেক,171,118,0.16461,0.33333,0.74897
দিয়েছিল,1239,1298,0.17006,0.33333,0.7517
কোঁকড়া,64,48,0.07065,0.28205,0.75327
হাস,6174,4519,0.1397,0.31579,0.75406
দাব,2447,2652,0.17872,0.33333,0.75603
ইজ,210,375,0.21734,0.35135,0.75732
চাস,159,134,0.15553,0.31579,0.76198
নিল,2450,3666,0.15787,0.31579,0.76315
উঠেছিল,784,526,0.19714,0.33333,0.76524
ফেল,1594,2710,0.17062,0.31579,0.76952
চল্লিশ,272,269,0.21729,0.33333,0.77531
হ্যাভ,23,92,0.18226,0.31579,0.77534
ছটা,220,173,0.11879,0.28205,0.77735
ডোন্ট,40,123,0.15637,0.2987,0.77948
হোয়াট,56,94,0.0944,0.26582,0.78138
জ্বলছিল,85,49,0.09642,0.26582,0.78239
বিছানায়,794,941,0.16309,0.2987,0.78285
ওঠে,3981,2185,0.19849,0.31579,0.78345
পড়ে,10159,9596,0.1347,0.28205,0.7853
অ্যাম,41,72,0.13595,0.28205,0.78592
আগুন,1803,1826,0.17419,0.2987,0.78839
ওয়াজ,57,75,0.14345,0.28205,0.78967
আঁচড়ানো,31,26,0.05351,0.23457,0.79219
আর্তনাদ,387,207,0.14962,0.28205,0.79276
বাতাস,1043,919,0.18643,0.2987,0.79451
দেব,4397,3429,0.18753,0.2987,0.79506
পঁচিশ,290,225,0.18811,0.2987,0.79535
বালিশ,273,237,0.12299,0.26582,0.79567
দ্যাট,63,110,0.12751,0.26582,0.79793
খেয়ে,3479,2780,0.13183,0.26582,0.80009
পাবে,1317,1436,0.19883,0.2987,0.80071
আছিস,176,161,0.13458,0.26582,0.80147
ইওর,28,52,0.13679,0.26582,0.80257
কোঁকড়ানো,40,20,0.07464,0.23457,0.80275
পরনে,366,526,0.13896,0.26582,0.80366
তোরা,488,441,0.24127,0.31579,0.80485
পারিনি,674,764,0.17552,0.28205,0.80571
ভাঙ,2323,2744,0.14396,0.26582,0.80616
এগারোটায়,37,34,0.08216,0.23457,0.80651
গাছ,3222,2948,0.14701,0.26582,0.80768
