word,count_a,count_b,delta_cos,neighbor_jaccard,change_score
বল্লাল,25,405,0.8146,0.0,1.4073
রমজান,470,191,0.79237,0.0,1.39619
নাসিম,98,78,0.78961,0.0,1.3948
অর্জুন,103,2922,0.75306,0.0,1.37653
বরাত,77,117,0.74407,0.0,1.37204
পাশা,84,176,0.72936,0.0,1.36468
শ্যামলী,112,26,0.72879,0.0,1.3644
লিপি,148,94,0.72421,0.0,1.3621
টোল,52,173,0.72271,0.0,1.36135
মহিষ,88,371,0.74221,0.0101,1.361
মুহাম্মদ,287,316,0.71862,0.0,1.35931
হাম,77,786,0.71476,0.0,1.35738
মারিয়া,109,156,0.70457,0.0,1.35228
হেনরি,50,216,0.70289,0.0,1.35145
সাবেক,37,1417,0.70073,0.0,1.35037
গুম,180,210,0.69897,0.0,1.34948
ব্যাং,59,196,0.69494,0.0,1.34747
বে,112,35,0.69304,0.0,1.34652
কোর,52,104,0.69203,0.0,1.34601
বোধন,936,31,0.68887,0.0,1.34444
মহেন্দ্র,780,141,0.68395,0.0,1.34198
স্মিথ,147,74,0.68129,0.0,1.34065
গৌরী,803,33,0.67806,0.0,1.33903
আনু,816,38,0.67801,0.0,1.339
ফারুক,384,248,0.69507,0.0101,1.33743
রসিক,287,401,0.67441,0.0,1.3372
সাফ,226,209,0.67294,0.0,1.33647
রানা,58,10990,0.6605,0.0,1.33025
সোল,80,122,0.67652,0.0101,1.32816
মুর,34,154,0.65344,0.0,1.32672
কাফ,151,51,0.65257,0.0,1.32628
মেয়র,48,178,0.65063,0.0,1.32531
কাঞ্চন,70,230,0.64946,0.0,1.32473
পশ্চিমা,42,125,0.64885,0.0,1.32443
চলমান,57,461,0.64774,0.0,1.32387
ইরান,42,3604,0.6456,0.0,1.3228
মিঞা,612,185,0.64094,0.0,1.32047
জনে,241,108,0.63999,0.0,1.32
অগ্নি,108,360,0.63981,0.0,1.31991
উল্কা,273,26,0.63924,0.0,1.31962
শিকদ,369,84,0.63883,0.0,1.31942
হারে,89,188,0.63794,0.0,1.31897
অভিজিৎ,60,79,0.63719,0.0,1.31859
মনির,502,389,0.63285,0.0,1.31642
অগ্নিসংযোগ,73,58,0.63257,0.0,1.31629
অঞ্জ,32,123,0.63172,0.0,1.31586
বসুন্ধ,23,47,0.62725,0.0,1.31363
বাহাদুর,362,281,0.6269,0.0,1.31345
পুনরায়,284,151,0.6263,0.0,1.31315
নিশাত,195,213,0.62623,0.0,1.31311
